"WindCodes","RT_DATE","RT_TIME","RT_PRE_CLOSE","RT_OPEN","RT_HIGH","RT_LOW","RT_LAST","RT_LAST_AMT","RT_LAST_VOL","RT_LATEST","RT_VOL","RT_AMT","RT_CHG","RT_PCT_CHG","RT_MKT_VOL","RT_UP_TOTAL","RT_SAME_TOTAL","RT_DOWN_TOTAL","RT_PE_TTM"
CDBO10Y.WI,20251120,0,1.9345,1.9365,1.9425,1.933,1.9365,0,0,1.9365,18000,0,0.002,0.001,0,0,0,0,0
CDBO1Y.WI,20251120,0,1.5975,1.6,1.6,1.5975,1.6,0,0,1.6,3300,0,0.0025,0.0016,0,0,0,0,0
CDBO3Y.WI,20251120,0,1.705,1.705,1.705,1.705,1.705,0,0,1.705,2400,0,0,0,0,0,0,0,0
CDBO5Y.WI,20251120,0,1.77,1.765,1.77,1.7625,1.765,0,0,1.765,9100,0,-0.005,-0.0028,0,0,0,0,0
CDBO7Y.WI,20251120,0,1.8925,1.89,1.89,1.885,1.89,0,0,1.89,200,0,-0.0025,-0.0013,0,0,0,0,0
CDBS10Y.WI,20251120,0,1.9345,1.9365,1.9425,1.933,1.9365,0,0,1.9365,18000,0,0.002,0.001,0,0,0,0,0
CDBS1Y.WI,20240906,0,1.8464,1.8523,1.8523,1.8523,1.8523,0,0,1.8523,0,0,0.0059,0.0032,0,0,0,0,0
CDBS3Y.WI,20251120,0,1.6475,1.645,1.6475,1.6425,1.645,0,0,1.645,1700,0,-0.0025,-0.0015,0,0,0,0,0
CDBS5Y.WI,20251120,0,1.7225,1.7175,1.72,1.7165,1.7175,0,0,1.7175,2500,0,-0.005,-0.0029,0,0,0,0,0
CDBS7Y.WI,20251120,0,1.8425,1.843,1.845,1.835,1.843,0,0,1.843,2300,0,0.0005,0.0003,0,0,0,0,0
CDBSF10Y.WI,20251120,0,1.898,1.9,1.9025,1.8945,1.9,0,0,1.9,3000,0,0.002,0.0011,0,0,0,0,0
CDBSF1Y.WI,20251120,0,1.49,1.49,1.49,1.49,1.49,0,0,1.49,400,0,0,0,0,0,0,0,0
CDBSF3Y.WI,20251120,0,1.665,1.665,1.665,1.665,1.665,0,0,1.665,600,0,0,0,0,0,0,0,0
CDBSF5Y.WI,20251120,0,1.7225,1.7175,1.72,1.7165,1.7175,0,0,1.7175,2500,0,-0.005,-0.0029,0,0,0,0,0
CDBSF7Y.WI,20251120,0,1.75,1.746,1.7475,1.745,1.746,0,0,1.746,1000,0,-0.004,-0.0023,0,0,0,0,0
EXIMB10Y.WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXIMB1Y.WI,20251121,0,1.895,1.895,1.895,1.895,1.895,0,0,1.895,0,0,0,0,0,0,0,0,0
EXIMB3Y.WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXIMB5Y.WI,20251121,0,1.7462,1.75,1.75,1.75,1.75,0,0,1.75,0,0,0.0038,0.0022,0,0,0,0,0
EXIMB7Y.WI,20251121,0,2.31,2.1275,2.1275,2.1275,2.1275,0,0,2.1275,0,0,-0.1825,-0.079,0,0,0,0,0
NCDB10Y.WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCDB1Y.WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
